Producto,Unidad,Categoría
Aguacate importado supremo,KG,Frutas
Aji peruano,KG,Verduras
Ajo en trenza,KG,Tubérculos y raíces
Ajo mallita 3x1,KG,Tubérculos y raíces
Ajo pelado,KG,Tubérculos y raíces
Ajo negro,BANDEJA,Especiales y gourmet
Albahaca,KG,Hierbas y aromáticas
Albahaca 100g,UNID,Hierbas y aromáticas
Alfalfa bandeja 100g,UNID,Hojas y lechugas
Alverja china paquete,UNID,Legumbres y granos
Apio mata grande,UNID,Verduras
Arándanos bandeja 125g,UNID,Frutas
Arúgula kg,KG,Hojas y lechugas
Arúgula 100g,UNID,Hojas y lechugas
Ayote mantequilla,KG,Verduras
Ayote tierno,UNID,Verduras
Ayote sazón,KG,Verduras
Azúcar 1kg,KG,Despensa y básicos
Banano criollo,UNID,Frutas
Banano de exportación pinton,UNID,Frutas
Banano de exportación maduro,KG,Frutas
Banano nacional,UNID,Frutas
Banano verde cocina,UNID,Frutas
Berenjena,UNID,Verduras
Berenjena china,KG,Verduras
Berro chino bandeja,UNID,Hojas y lechugas
Brócoli,KG,Verduras
Camote,KG,Tubérculos y raíces
Camote dorado,KG,Tubérculos y raíces
Carambola,KG,Frutas
Cas,KG,Frutas
Cebolla blanca,KG,Tubérculos y raíces
Cebolla mini,KG,Tubérculos y raíces
Cebolla morada,KG,Tubérculos y raíces
Cebollín,UNID,Hierbas y aromáticas
Chalota blanca,KG,Tubérculos y raíces
Chalota morada,KG,Tubérculos y raíces
Chayote quelite,UNID,Verduras
Chayote negro,UNID,Verduras
Chayote sazón,UNID,Verduras
Chile ancho bandeja,BANDEJA,Verduras
Chile dulce primera,UNID,Verduras
Chile dulce segunda,UNID,Verduras
Chile jalapeño,KG,Verduras
Chile morita bandeja,BANDEJA,Verduras
Chile morrón mundial,UNID,Verduras
Chile panameño,KG,Verduras
Chile pasilla bandeja,BANDEJA,Verduras
Chives rollito,UNID,Hierbas y aromáticas
Ciruela,KG,Frutas
Coco,UNID,Frutas
Col de bruselas,UNID,Verduras
Coliflor,UNID,Verduras
Culantro castilla 1x10,UNID,Hierbas y aromáticas
Culantro castilla rollo,ROLLO,Hierbas y aromáticas
Culantro coyote,UNID,Hierbas y aromáticas
Culantro coyote 1x10,UNID,Hierbas y aromáticas
Elote dulce bandeja,BANDEJA,Verduras
Elotes nacional,UNID,Verduras
Eneldo rollito,UNID,Hierbas y aromáticas
Espárrago,UNID,Verduras
Espinaca con tallo,UNID,Hojas y lechugas
Espinaca deshojada,KG,Hojas y lechugas
Estragón rollito,UNID,Hierbas y aromáticas
Flor comestible (65unid),CAJA,Especiales y gourmet
Flor comestible deshidratdas (65 unid),CAJA,Especiales y gourmet
Flor de jamaica,KG,Especiales y gourmet
Fresa jumbo kg,KG,Frutas
Fresa bandeja 1kg,KG,Frutas
Fresa bandeja 400g,KG,Frutas
Fresa batido,KG,Frutas
Frambuesa 125g,UNID,Frutas
Frijol blanco bandeja,KG,Legumbres y granos
Frijol cubaces,KG,Legumbres y granos
Frijol nacido bandeja,UNID,Legumbres y granos
Frijoles tiernos,KG,Legumbres y granos
Garbanzos paquete 1kg,KG,Legumbres y granos
Granadilla,UNID,Frutas
Guanábana,KG,Frutas
Guayaba china,KG,Frutas
Hierbabuena,KG,Hierbas y aromáticas
Hierbabuena deshojada,KG,Hierbas y aromáticas
Hierbabuena rollo 100g,ROLLO,Hierbas y aromáticas
Hinojo bandeja,UNID,Verduras
Hongo ostra bandeja 200g,UNID,Hongos
Hongos crimini bandeja 200g,UNID,Hongos
Hongos enteros bandeja 250g,UNID,Hongos
Hongos portobello bandeja 250g,UNID,Hongos
Hoja de laurel cartón,UNID,Hierbas y aromáticas
Hoja para tamal,KG,Hojas y lechugas
Huevos 15 unidades cartón,UNID,Despensa y básicos
Huevos 30 unidades cartón,UNID,Despensa y básicos
Jengibre,KG,Tubérculos y raíces
Kale 100g,UNID,Hojas y lechugas
Kiwi,KG,Frutas
Lechuga americana,UNID,Hojas y lechugas
Lechuga baby mix,KG,Hojas y lechugas
Lechuga blanca,UNID,Hojas y lechugas
Lechuga deshojada,KG,Hojas y lechugas
Lechuga escarola,UNID,Hojas y lechugas
Lechuga iceberg,UNID,Hojas y lechugas
Lechuga lolorosa red,UNID,Hojas y lechugas
Lechuga radicchio bandeja,UNID,Hojas y lechugas
Lechuga romana,UNID,Hojas y lechugas
Lentejas paquete 1kg,KG,Legumbres y granos
Limón mandarina,UNID,Frutas
Limón mesino,UNID,Frutas
Malanga,KG,Tubérculos y raíces
Mandarina importada,KG,Frutas
Mandarina nacional,UNID,Frutas
Mango maduro,KG,Frutas
Mango verde,KG,Frutas
Manzana fuji,UNID,Frutas
Manzana gala 175,UNID,Frutas
Manzana gala 80,UNID,Frutas
Manzana gala paquete de 6,UNID,Frutas
Manzana roja 80,UNID,Frutas
Manzana verde 80,UNID,Frutas
Manzana verde 175,UNID,Frutas
Maracuyá,KG,Frutas
Maracuyá congelada,KG,Frutas
Melocotón,KG,Frutas
Melón,KG,Frutas
Microgreen bandeja,UNID,Hojas y lechugas
